b_A,mu,c,s,parm,init_pop_size,extinction,rescue,mean_fraction,mean_rescue_time,var_fraction,var_rescue_time
0.11,0.0,0.001,0.001,3.0,1000.0,1000,0,0.0,0.0008718807022772892,0.0,7.296096479064073e-07
0.11,0.0,0.001,0.1,1.1,10.0,1000,0,0.0,0.3524214397817619,0.0,0.12009152486026746
0.11,0.0,0.001,0.1,1.1,100.0,1000,0,0.0,0.0271627918665194,0.0,0.0006839916873271511
0.11,0.0,0.001,0.1,1.1,1000.0,1000,0,0.0,0.000729140341915571,0.0,5.306244676241041e-07
0.11,0.0,0.001,0.1,1.5,10.0,1000,0,0.0,0.35833706848334795,0.0,0.14132706829656477
0.11,0.0,0.001,0.1,1.5,100.0,1000,0,0.0,0.025691946221580244,0.0,0.0006557314929469226
0.11,0.0,0.001,0.1,1.5,1000.0,1000,0,0.0,0.0007515023159365019,0.0,5.270998853506436e-07
0.11,0.0,0.001,0.1,2.0,10.0,1000,0,0.0,0.36587473890704136,0.0,0.14388517884113655
0.11,0.0,0.001,0.1,2.0,100.0,1000,0,0.0,0.025659856185812208,0.0,0.000685412667703544
0.11,0.0,0.001,0.1,2.0,1000.0,1000,0,0.0,0.0007790036530133512,0.0,5.875819222699003e-07
0.11,0.0,0.001,0.1,2.5,10.0,1000,0,0.0,0.38241077517997085,0.0,0.14260997813185328
0.11,0.0,0.001,0.1,2.5,100.0,1000,0,0.0,0.025607732838880553,0.0,0.0006416215876749814
0.11,0.0,0.001,0.1,2.5,1000.0,1000,0,0.0,0.0007774378778732249,0.0,6.512331903895401e-07
0.11,0.0,0.001,0.1,3.0,10.0,1000,0,0.0,0.34575112911887224,0.0,0.12180647037482105
0.11,0.0,0.001,0.1,3.0,100.0,1000,0,0.0,0.026535403302597495,0.0,0.0007534065070807585
0.11,0.0,0.001,0.1,3.0,1000.0,1000,0,0.0,0.0007888216646808474,0.0,6.363099612945717e-07
0.11,0.0,0.001,1.0,1.1,10.0,1000,0,0.0,0.08307649971181894,0.0,0.006796101011239148
0.11,0.0,0.001,1.0,1.1,100.0,1000,0,0.0,0.007738295687561796,0.0,6.003976149702915e-05
0.11,0.0,0.001,1.0,1.1,1000.0,1000,0,0.0,0.0004708405401723143,0.0,2.400709622570617e-07
0.11,0.0,0.001,1.0,1.5,10.0,1000,0,0.0,0.08260188187602757,0.0,0.006788193207323549
0.11,0.0,0.001,1.0,1.5,100.0,1000,0,0.0,0.00832761669380218,0.0,7.190766295267302e-05
0.11,0.0,0.001,1.0,1.5,1000.0,1000,0,0.0,0.000460364662766514,0.0,1.9861732724705392e-07
0.11,0.0,0.001,1.0,2.0,10.0,1000,0,0.0,0.08592395747252057,0.0,0.007288387975321727
0.11,0.0,0.001,1.0,2.0,100.0,1000,0,0.0,0.007903392204658329,0.0,6.106248692702986e-05
0.11,0.0,0.001,1.0,2.0,1000.0,1000,0,0.0,0.00044633771668534306,0.0,2.0879914368276844e-07
0.11,0.0,0.001,1.0,2.5,10.0,1000,0,0.0,0.08516118117810358,0.0,0.007438013564301193
0.11,0.0,0.001,1.0,2.5,100.0,1000,0,0.0,0.007722827582633181,0.0,5.70661201171808e-05
0.11,0.0,0.001,1.0,2.5,1000.0,1000,0,0.0,0.00046160513941964263,0.0,2.2142503335783778e-07
0.11,0.0,0.001,1.0,3.0,10.0,1000,0,0.0,0.08468066634686308,0.0,0.007459038503968776
0.11,0.0,0.001,1.0,3.0,100.0,1000,0,0.0,0.00798049791209741,0.0,6.139570995180673e-05
0.11,0.0,0.001,1.0,3.0,1000.0,1000,0,0.0,0.00046228417379722133,0.0,2.1753203937896752e-07
0.11,1e-05,0.0003,1e-05,1.1,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,1.1,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,1.1,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,1.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,1.5,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,1.5,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,2.0,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,2.0,100.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,2.0,1000.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,2.5,10.0,1000,0,0.0,0.0,0.0,0.0
0.11,1e-05,0.0003,1e-05,2.5,100.0,1000,0,0.0,0.0,0.0,0.0
