b_A,mu,c,init_pop_size,extinction,rescue,mean_fraction,mean_rescue_time,var_fraction,var_rescue_time
0.25,1e-05,0.003,100.0,800.0,200.0,1.0,12.701813040425431,0.0,64.93708087490785
0.25,1e-05,0.003,1000.0,970.0,30.0,1.0,15.379196377392361,0.0,70.33774797843795
0.25,1e-05,0.001,10.0,486.0,514.0,1.0,19.54975145712934,0.0,79.27371576895216
0.25,1e-05,0.001,100.0,615.0,385.0,1.0,22.15716757444485,0.0,90.76415666981856
0.25,1e-05,0.001,1000.0,933.0,67.0,1.0,27.260822820910413,0.0,90.83752000825133
0.25,0.0001,0.0003,10.0,391.0,609.0,0.9999199484613499,27.818208092333,2.436232526362523e-07,70.05376845533307
0.25,0.0001,0.0003,100.0,517.0,483.0,0.9997901665194389,29.402702845820432,5.463125371425889e-07,89.58648453959995
0.25,0.0001,0.0003,1000.0,744.0,256.0,0.9999216428977785,37.14031569087146,1.5167863939740311e-07,219.09585915877778
0.25,0.0001,0.0001,10.0,391.0,609.0,0.9998629842568382,34.85628443772027,1.4105141407723395e-07,76.87185175316449
0.25,0.0001,0.0001,100.0,426.0,574.0,0.999862366122433,35.44367605223956,1.3073431941974684e-07,80.77082067295056
0.25,0.0001,0.0001,1000.0,588.0,412.0,0.9998716325099811,41.137916070404,1.1314613584759992e-07,195.2759217955969
0.25,0.0001,0.003,10.0,512.0,488.0,1.0,11.37897965681612,0.0,52.064767246982115
0.25,0.0001,0.003,100.0,802.0,198.0,0.99989898989899,12.359964780822125,2.0099989796959532e-06,58.05702981543747
0.25,0.0001,0.003,1000.0,960.0,40.0,1.0,16.03215386937619,0.0,464.4046547192682
0.25,0.0001,0.001,10.0,440.0,560.0,0.9998480715557762,19.870376803974036,1.8841846282507298e-06,76.61777101027947
0.25,0.0001,0.001,100.0,638.0,362.0,0.9997201067668845,23.04700239981952,2.9939970860698034e-06,124.16951497574522
0.25,0.0001,0.001,1000.0,915.0,85.0,1.0,26.41826738219899,0.0,108.59717897017524
0.25,0.001,0.0003,10.0,416.0,584.0,0.9985267089504969,28.003279992940573,3.954581035083651e-06,121.88293863658272
0.25,0.001,0.0003,100.0,440.0,560.0,0.9985858357019158,32.36096187896121,3.846801020302661e-06,315.4710996435735
0.25,0.001,0.0003,1000.0,606.0,394.0,0.9983388202738323,41.84661187532542,5.143789057033477e-06,447.47043003633826
0.25,0.001,0.0001,10.0,370.0,630.0,0.9985650334076249,35.00783977673223,1.3308144637395894e-06,165.31523230603202
