b_A,mu,c,s,parm,init_pop_size,extinction,rescue,mean_fraction,mean_rescue_time,var_fraction,var_rescue_time
0.11,0.0,0.001,1e-05,0.1,100.0,1000,0,0.0,0.03418751162802591,0.0,0.0010380724735307913
0.11,0.0,0.001,1e-05,0.1,1000.0,1000,0,0.0,0.0008196212750728463,0.0,6.393697878778302e-07
0.11,0.0,0.001,1e-05,0.5,10.0,1000,0,0.0,0.5165890659378285,0.0,0.2681534913787148
0.11,0.0,0.001,1e-05,0.5,100.0,1000,0,0.0,0.03720934872297784,0.0,0.0012784490707273002
0.11,0.0,0.001,1e-05,0.5,1000.0,1000,0,0.0,0.0008372724838986731,0.0,6.461157476881611e-07
0.11,0.0,0.001,1e-05,1.0,10.0,1000,0,0.0,0.5229616535557342,0.0,0.29470495464085317
0.11,0.0,0.001,1e-05,1.0,100.0,1000,0,0.0,0.03593178316897453,0.0,0.0010424346109685577
0.11,0.0,0.001,1e-05,1.0,1000.0,1000,0,0.0,0.0008667714222203095,0.0,6.814025839743011e-07
0.11,0.0,0.001,1e-05,1.5,10.0,1000,0,0.0,0.48823210587761423,0.0,0.22703999312002132
0.11,0.0,0.001,1e-05,1.5,100.0,1000,0,0.0,0.036986624712066866,0.0,0.001304700545093744
0.11,0.0,0.001,1e-05,1.5,1000.0,1000,0,0.0,0.0008553826817086918,0.0,7.15551619194725e-07
0.11,0.0,0.001,1e-05,2.0,10.0,1000,0,0.0,0.5454615212013157,0.0,0.28151581979883045
0.11,0.0,0.001,1e-05,2.0,100.0,1000,0,0.0,0.03578837432432242,0.0,0.0012247983841510485
0.11,0.0,0.001,1e-05,2.0,1000.0,1000,0,0.0,0.000863014821211608,0.0,7.154183317495643e-07
0.11,0.0,0.001,0.001,0.1,10.0,1000,0,0.0,0.4983412712021106,0.0,0.23375943288354653
0.11,0.0,0.001,0.001,0.1,100.0,1000,0,0.0,0.03713547146543291,0.0,0.0011927011584695751
0.11,0.0,0.001,0.001,0.1,1000.0,1000,0,0.0,0.0008903646166195935,0.0,8.790464534431015e-07
0.11,0.0,0.001,0.001,0.5,10.0,1000,0,0.0,0.5239944703933068,0.0,0.2533604146593078
0.11,0.0,0.001,0.001,0.5,100.0,1000,0,0.0,0.0356408686536672,0.0,0.0012844586451219262
0.11,0.0,0.001,0.001,0.5,1000.0,1000,0,0.0,0.0008573568208552802,0.0,7.357261416201264e-07
0.11,0.0,0.001,0.001,1.0,10.0,1000,0,0.0,0.5723306708728223,0.0,0.30325472962533284
0.11,0.0,0.001,0.001,1.0,100.0,1000,0,0.0,0.03665455138039015,0.0,0.0014371348941266643
0.11,0.0,0.001,0.001,1.0,1000.0,1000,0,0.0,0.0008132363888682945,0.0,7.95089652810297e-07
